Function              Calls     TotSec   Sec/Call
random_solution      239470  10.835383   0.000045
overallocation       957711  29.862684   0.000031
conflicts            957711  44.764979   0.000047
undersupport         957711  27.365621   0.000029
unavailable          957711  28.194684   0.000029
unpreferred          957711  26.244034   0.000027
reduce_overallocation 239864   9.469741   0.000039
fix_undersupport     239124   8.808514   0.000037
swap_assignments     239253   6.726132   0.000028
evolve                    1 300.010432 300.010432
